Provinsi,Nama Rumah Sakit,Alamat,Lat,Long,Linkmaps
Kep. Bangka Belitung,RSU Depati Hamzah Pangkal Pinang,Jl. M. Syafrie Rachman I. Telp. (0717) 421324,-2.1441239,106.1245104,"https://www.google.com/maps/place/RSUD+Depati+Hamzah/@-2.1441239,106.1245104,21z/data=!4m8!1m2!2m1!1sRSU+Pangkal+Pinang!3m4!1s0x2e22c0d4776b1f25:0xb81448c6324b03db!8m2!3d-2.1439926!4d106.1245582?hl=id"
Bengkulu,RSU Dr. M. Yunus Bengkulu,Jl. Bhayangkara Sidomulyo Bengkulu. Telp. (0736) 52004/52008,-3.8342808,102.3117854,"https://www.google.com/maps/place/RSUD+Dr.+M.+Yunus+Bengkulu/@-3.8342808,102.3117854,17z/data=!3m1!4b1!4m5!3m4!1s0x2e36ba6859f019a5:0x7eb170b29d50ebdb!8m2!3d-3.8342808!4d102.3139741?hl=id"
Bengkulu,RSU Arga Makmur,"Jl. Siti Khadijah Arga Makmur, Bengkulu Utara. Telp. (0737) 521118",-3.4417261,102.1909803,"https://www.google.com/maps/place/RSUD+Arga+Makmur/@-3.4417261,102.1909803,17z/data=!4m8!1m2!2m1!1sRSU+Arga+Makmur%09Jl.+Siti+Khadijah+Arga+Makmur,+Bengkulu+Utara.+Telp.+(0737)+521118!3m4!1s0x2e315bbe11e0303f:0x4ef21c4b72c960ab!8m2!3d-3.4423511!4d102.1911538?hl=id"
Bengkulu,RSU Hasanuddin Damrah Manna,"Jl. Fatmawati Soekarno 31, Manna. Telp (0739) 21118",-4.4376127,102.9762643,"https://www.google.com/maps/place/RSUD+Hasanuddin+Damrah+Manna/@-4.4376127,102.9762643,12.83z/data=!4m5!3m4!1s0x2e37ade5c5b3183f:0x96a324d6b7175750!8m2!3d-4.4419594!4d102.8964832?hl=id"
Lampung,RSU Abdul Moeloek,"Jl. Dr. Rivai No. 6, Tanjung Karang Lampung, 35112",-5.4026586,105.2563938,"https://www.google.com/maps/place/RSUD+Dr.+H.+Abdul+Moeloek/@-5.4026586,105.2563938,17z/data=!4m8!1m2!2m1!1sRSU+Abdul+Moeloek%09Jl.+Dr.+Rivai+No.+6,+Tanjung+Karang+Lampung,+35112!3m4!1s0x2e40dafbc2e84245:0x1229571431dbd515!8m2!3d-5.4028103!4d105.2586609?hl=id"
Lampung,RSU Kalianda,"Jl. L ettu Rohani No. 14B, Kalianda. Telp. (0727) 322160",-5.5332601,105.6185141,"https://www.google.com/maps/place/RSUD+dr.H.+Bob+Bazar.+SKM/@-5.5332601,105.6185141,11.17z/data=!4m5!3m4!1s0x2e4111d39236a737:0x4ea9cc6c92152bb0!8m2!3d-5.7275578!4d105.5964602?hl=id"
Lampung,RSU Mayjend HM Ryacudu,"Jl. Jend Sudirman No. 2, Kotabumi. Telp. 22095",-4.8197403,104.9614052,"https://www.google.com/maps/place/Rumah+Sakit+Daerah+Mayjend.+HM.+Ryacudu+Kotabumi/@-4.8197403,104.9614052,12.25z/data=!4m5!3m4!1s0x2e38a8de6448360d:0x893148fbdbf617d0!8m2!3d-4.8328317!4d104.8914226?hl=id"
Lampung,RSU Ahmad Yani,Jl. Jend A Yani Metro Telp. 0725 - 41820,-5.1157236,105.3079348,"https://www.google.com/maps/place/RSUD+Jend+Ahmad+Yani+Metro/@-5.1157236,105.3079348,17z/data=!3m1!4b1!4m5!3m4!1s0x2e40bbf9026eefc1:0x5cf0d57f9af22bfd!8m2!3d-5.1157236!4d105.3101235?hl=id"
DKI Jakarta,RSPl Dr. Sulianti Saroso,"Jl. Baru Sunter Permai Raya, Jakarta 14340. Telp. 021-6506559 Fax 021-6401411",-6.1296008,106.8601146,"https://www.google.com/maps/place/Rumah+Sakit+Penyakit+Infeksi+Prof.+Dr.+Sulianti+Saroso/@-6.1296008,106.8601146,17z/data=!3m1!4b1!4m5!3m4!1s0x2e6a1e2b82616ee1:0x598466a2b00f9431!8m2!3d-6.1296008!4d106.8623033?hl=id"
DKI Jakarta,RSU Persahabatan,Jl. Persahabatan Raya,-6.2080151,106.8835842,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Pusat+Persahabatan/@-6.2080151,106.8835842,15z/data=!4m5!3m4!1s0x2e69f49718724acb:0xe7d6017f08e37200!8m2!3d-6.2027627!4d106.8848625?hl=id"
DKI Jakarta,RSPAD Gatot Soebroto,Jl. Dr A Rahman Saleh No 24 Jakarta Pusat Telp. 021 - 371008,-6.1778922,106.8368215,"https://www.google.com/maps/place/Rumah+Sakit+Pusat+Angkatan+Darat+Gatot+Soebroto/@-6.1778922,106.8368215,16z/data=!4m5!3m4!1s0x2e69f434c79030ff:0x3bac12ae3c734b2a!8m2!3d-6.1766316!4d106.8370615?hl=id"
Jawa Barat,RSU Dr. Hasan Sadikin Bandung,Jl. Pasteur No.38 Bandung,-6.8981022,107.5959504,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Pusat+Dr.+Hasan+Sadikin/@-6.8981022,107.5959504,17z/data=!3m1!4b1!4m5!3m4!1s0x2e68e642a7183059:0xd07affd224606be5!8m2!3d-6.8981022!4d107.5981391?hl=id"
Jawa Barat,RSU Dr. Slamet Garut,Jl. Rumah Sakit No. 10 Garut Telp. 0262 - 232720,-7.2200534,107.8948313,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Dokter+Slamet/@-7.2200534,107.8948313,17z/data=!3m1!4b1!4m5!3m4!1s0x2e68b04ee1945a25:0x3bbb7b04e4153853!8m2!3d-7.2200534!4d107.89702?hl=id"
Jawa Barat,RSU Gunung Jati Cirebon,Jl. Kesambi No 56 CirebonTelp. 0231 - 206330,-6.7308445,108.553221,"https://www.google.com/maps/place/RSUD+Gunung+Jati+Kesambi/@-6.7308445,108.553221,17z/data=!3m1!4b1!4m5!3m4!1s0x2e6f1d89a485d007:0x5dbbae4963e15b0!8m2!3d-6.7308445!4d108.5554097?hl=id"
Jawa Barat,RSTP Dr. H.A. Rotinsulu Bandung,Jl. Bukit Jarian No 40 .BandungTelp. 022 - 231427,-6.8788486,107.6038509,"https://www.google.com/maps/place/Rumah+Sakit+Paru+Dr.+H.+A.+Rotinsulu/@-6.8788486,107.6038509,17z/data=!3m1!4b1!4m5!3m4!1s0x2e68e6efd1eb80b7:0xc3e4780b547b1818!8m2!3d-6.8788486!4d107.6060396?hl=id"
Jawa Barat,"RSU R. Syamsudin, SH Sukabumi",Jl. Rumah Sakit No.1 Kota SukabumiTelp. 0266 - 225180,-6.914655,106.9324003,"https://www.google.com/maps/place/RSUD+Syamsudin+SH/@-6.914655,106.9324003,17z/data=!3m1!4b1!4m5!3m4!1s0x2e684836ee86e073:0xddf85937f6a3345d!8m2!3d-6.914655!4d106.934589?hl=id"
Jawa Barat,RSU Indramayu,Jl. Rumah Sakit No. 1 IndramayuTelp. 272655,-6.3295124,108.3193693,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+Kabupaten+Indramayu/@-6.3295124,108.3193693,17z/data=!3m1!4b1!4m5!3m4!1s0x2e6eb957ef43ab4d:0x2436dd8079b0217a!8m2!3d-6.3295124!4d108.321558?hl=id"
Jawa Barat,RSU Subang,Jl. Brigjen Katamso No. 37 SubangTelp. 0260-411421,-6.5581472,107.7448665,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+Kabupaten+Subang/@-6.5581472,107.7448665,17z/data=!3m1!4b1!4m5!3m4!1s0x2e693c894e9a606b:0x843bba9cfb0e7c89!8m2!3d-6.5581472!4d107.7470552?hl=id"
Banten,RSU dr. Dradjat Prawiranegara Serang,"Jl. Rumah Sakit No. 1, Serang",-6.1199015,106.1504341,"https://www.google.com/maps/place/RSUD+dr.+Dradjat+Prawiranegara+Kota+Serang/@-6.1199015,106.1504341,17z/data=!4m5!3m4!1s0x2e418ad42bbe38f1:0xe80dfa6bf96a7128!8m2!3d-6.1199012!4d106.1526228?hl=id"
Banten,RSU Tangerang,"Jl. Ahmad Yani No. 9 Tangerang. Telp. 021-5523507, Fax. 5527104",-6.1528742,106.651245,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Kabupaten+Tangerang/@-6.1528742,106.651245,13.46z/data=!4m5!3m4!1s0x2e69f8cebd8d2935:0x1e70fa1111c75f8b!8m2!3d-6.1697843!4d106.6356113?hl=id"
Jawa Tengah,RSU Dr. Kariadi Semarang,"Jl. Dr. Sutomo No.16, Semarang 50231. Telp. 024-8413993, 8413476",-6.9942118,110.405301,"https://www.google.com/maps/place/RSUP+Dr.+KARIADI/@-6.9942118,110.405301,17z/data=!3m1!4b1!4m5!3m4!1s0x2e708b41831c7b9d:0xcb17f1f8f9b49a67!8m2!3d-6.9942118!4d110.4074897?hl=id"
Jawa Tengah,RSU Dr. H. Soewondo,"Jl. Laut 21, Kendal",-6.9177157,110.2055368,"https://www.google.com/maps/place/RS+Dr.+H+Soewondo+kendal/@-6.9177157,110.2055368,18.25z/data=!4m5!3m4!1s0x2e705c2dc11a5295:0x8445bc7b96356831!8m2!3d-6.917834!4d110.2062192?hl=id"
Jawa Tengah,RSU Dr. Moewardi,"Jl. Kol Sutarto 132, Surakarta",-7.5575403,110.840158,"https://www.google.com/maps/place/RSUD+Dr.+Moewardi+Surakarta/@-7.5575403,110.840158,17z/data=!4m5!3m4!1s0x2e7a16fb6d436629:0x8016faa044ce174!8m2!3d-7.558175!4d110.8416753?hl=id"
Jawa Tengah,RSU Banyumas,"Jl. Rumah Sakit No.1, Banyumas",-7.5280457,109.2920809,"https://www.google.com/maps/place/RSUD+Banyumas/@-7.5280457,109.2920809,16.75z/data=!4m5!3m4!1s0x2e6544a5a9e5b05d:0x6ded5edbb0879fb5!8m2!3d-7.5291541!4d109.2926896?hl=id"
Jawa Tengah,RSU Kudus,Jl. Dr. Lukmonohadi No. 19 Kudus. Telp. 0291-431831,-6.8189367,110.8344213,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+Kudus/@-6.8189367,110.8344213,17z/data=!3m1!4b1!4m5!3m4!1s0x2e70c4c1d93218e1:0x6755ce25e87aa5c6!8m2!3d-6.8189367!4d110.83661?hl=id"
Jawa Tengah,RSU Dr. H RM Soeselo W,Jl. Dr. Sutomo No 63 Slawi. Telp. 0283 - 491016,-6.9935144,109.1355191,"https://www.google.com/maps/place/RSUD+H.R.M+dr.+SOESELO/@-6.9935144,109.1355191,17z/data=!3m1!4b1!4m5!3m4!1s0x2e6fbe54f9c44e23:0x90c97704d9c61729!8m2!3d-6.9935144!4d109.1377078?hl=id"
Jawa Tengah,RSU Kraton Pekalongan,Jl. Veteran 31 Pekalongan Telp.0285 - 421621,-6.8814135,109.6653463,"https://www.google.com/maps/place/RSUD+Kraton/@-6.8814135,109.6653463,17z/data=!3m1!4b1!4m5!3m4!1s0x2e7025d42f6dc0b3:0x7e7f75735b608580!8m2!3d-6.8814135!4d109.667535?hl=id"
Jawa Tengah,RSU Tidar,Jl. Tidar No 30 A Magelang 0293-36226,-7.4855335,110.2160706,"https://www.google.com/maps/place/RSU+Tidar+Kota+Magelang/@-7.4855335,110.2160706,17z/data=!4m5!3m4!1s0x2e7a8f44a39a372d:0x5ab48fd226d850c7!8m2!3d-7.4855336!4d110.2182595?hl=id"
Jawa Tengah,RSU Prof. Dr. Margono Soekarjo,Jl. Dr Gumbreg No 1 Purwokerto. Telp. 0281-632708,-7.436662,109.2652207,"https://www.google.com/maps/place/RSUD+Prof.+Dr.+Margono+Soekarjo/@-7.436662,109.2652207,17z/data=!3m1!4b1!4m5!3m4!1s0x2e655c1da44567c1:0xd33981254b97b001!8m2!3d-7.436662!4d109.2674094?hl=id"
Jawa Tengah,RSU Dr Suraji Tirtonegoro,Jl. Dr Soeradji T No.1 Klalen 0272-321041,-7.7143852,110.5864769,"https://www.google.com/maps/place/RSUP+dr.+Soeradji+Tirtonegoro+Klaten/@-7.7143852,110.5864769,17z/data=!4m8!1m2!2m1!1sRSU+Dr+Suraji+Tirtonegoro%09Jl.+Dr+Soeradji+T+No.1+Klalen+0272-321041!3m4!1s0x2e7a446f5752a1f9:0xdb8f18e7c1164f7!8m2!3d-7.7143852!4d110.5886656?hl=id"
Jawa Timur,RSU Dr. Soetomo,Jl. Prof Dr. Moestopo No. 6 - 8 Surabaya,-7.2680224,112.7563105,"https://www.google.com/maps/place/RSUD+Dr.+Soetomo/@-7.2680224,112.7563105,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd7fbd512bf64af:0xc44b2981f167bffe!8m2!3d-7.2680224!4d112.7584992?hl=id"
Jawa Timur,RSU Dr. Saiful Anwar,JI. Jaksa Agung Suprapto No. 2 M a la n g,-7.9715097,112.6296043,"https://www.google.com/maps/place/RSUD+Dr.+Saiful+Anwar+Malang/@-7.9715097,112.6296043,17z/data=!4m12!1m6!3m5!1s0x2dd629b781fbe2bd:0xeb0fece39d33f9bd!2sIGD+Dr.+Saiful+Anwar+Malang!8m2!3d-7.9715097!4d112.631793!3m4!1s0x2dd629021f246f61:0x35d94a2ce8103b78!8m2!3d-7.9725676!4d112.6315456?hl=id"
Jawa Timur,RSU Dr. Soebandi,Jl. Dr. Soebandi No. 1 Jember 68111,-8.1517323,113.7128322,"https://www.google.com/maps/place/RSUD+dr.+Soebandi/@-8.1517323,113.7128322,17z/data=!4m5!3m4!1s0x2dd695ab770e0f3f:0xa6bf9ddece889812!8m2!3d-8.1519142!4d113.7150232?hl=id"
Jawa Timur,RS Dr R Koesma Tuban,Jl. Dr. W S Husodo Tuban 0356-321010,-6.8987586,112.0443305,"https://www.google.com/maps/place/RSUD+Dr.+R.+KOESMA+Tuban/@-6.8987586,112.0443305,17z/data=!3m1!4b1!4m5!3m4!1s0x2e77a2aa9786724b:0xcca24bd1ec218ece!8m2!3d-6.8987586!4d112.0465192?hl=id"
Jawa Timur,RS Dr S Djatikoesoemo,Jl. Veteran No.36 Bojonegoro 0353-3412133,-7.157954,111.8918159,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+Dr.+R.+Sosodoro+Djatikoesoemo/@-7.157954,111.8918159,15.54z/data=!4m5!3m4!1s0x2e77819cbc0aec11:0x9818d5477dcadb9a!8m2!3d-7.1595301!4d111.8996304?hl=id"
Jawa Timur,RS Pare,Jl. Pahlawan Kusuma B I Pare 0354-391718,-7.7669242,112.1826307,"https://www.google.com/maps/place/RSUD+Kabupaten+Kediri/@-7.7669242,112.1826307,16z/data=!4m8!1m2!2m1!1sRS+Pare%09Jl.+Pahlawan+Kusuma+B+I+Pare+0354-391718!3m4!1s0x2e785c465edfdbc1:0x427b3c8412d38b42!8m2!3d-7.7597725!4d112.1760884?hl=id"
Jawa Timur,RS Blambangan,Jl. Istiqlah No 49 Banyuwangi 0333-421118,-8.2083654,114.363804,"https://www.google.com/maps/place/RSUD+Blambangan+Banyuwangi/@-8.2083654,114.363804,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd1453bb065f8e7:0xad5ff16b895a4de6!8m2!3d-8.2083654!4d114.3659927?hl=id"
Jawa Timur,RS Dr Soedono,"Jl. Sumbawa No 6, Madiun",-7.6263083,111.5218121,"https://www.google.com/maps/place/RSUP+dr.+Soedono+Kota+Madiun/@-7.6263083,111.5218121,17z/data=!3m1!4b1!4m5!3m4!1s0x2e79bef7c9acd687:0xaf87ae42883dc4b9!8m2!3d-7.6263083!4d111.5240008?hl=id"
D.I. Yogyakarta,RSU Dr. Sardjito,"Jl. Kesehatan 1 Sekip, Jogjakarta",-7.7689631,110.3701607,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Pusat+Dr.Sardjito/@-7.7689631,110.3701607,17z/data=!4m8!1m2!2m1!1sRSU+Dr.+Sardjito%09Jl.+Kesehatan+1+Sekip,+Jogjakarta!3m4!1s0x2e7a584c3f999547:0xf5f81e9fab2e1dfb!8m2!3d-7.7686163!4d110.3734742?hl=id"
D.I. Yogyakarta,RSU Panembahan Senopati Bantul,Jl. Dr Wahidin S H Bantul 0274-367381,-7.8928277,110.3359187,"https://www.google.com/maps/place/RSUD+Panembahan+Senopati+Bantul/@-7.8928277,110.3359187,17z/data=!3m1!4b1!4m5!3m4!1s0x2e7a55f717e571a5:0xf24e4bbf12cf6f1f!8m2!3d-7.8928277!4d110.3381074?hl=id"
Nusa Tenggara Timur,RSU Prof. Dr. WZ Johanes,JL. DR. Moch.Hatta No.19 Kupang Telp 0380-832892,-10.1698199,123.5844812,"https://www.google.com/maps/place/RSUD+Prof.+Dr.+W+Z+Johannes+Kupang/@-10.1698199,123.5844812,17z/data=!3m1!4b1!4m5!3m4!1s0x2c569c9a81fad67f:0x2fab4ece9496b604!8m2!3d-10.1698199!4d123.5866699?hl=id"
Nusa Tenggara Timur,RSU Dr.TC Hillers,JL. Kesehatan Maumere 0382-21617,-8.6223857,122.2020435,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+(RSUD)+Dr.+TC+Hillers/@-8.6223857,122.2020435,17z/data=!3m1!4b1!4m5!3m4!1s0x2dad1bcd535b6c8f:0x19ec7ea424241ed2!8m2!3d-8.6223857!4d122.2042322?hl=id"
Nusa Tenggara Barat,RSU Mataram,"Jl. Bung Karno No.3, Mataram, 83127, Telp: 0370-640774",-8.6027833,116.1141945,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+Kota+Mataram/@-8.6027833,116.1141945,15z/data=!4m5!3m4!1s0x2dcdbf4240a7ae15:0x7c96adfc5edd7c11!8m2!3d-8.5999262!4d116.1141616?hl=id"
Nusa Tenggara Barat,RSU Bima,JL.Langsat No. 1 Raba Kab. Bima. Telp. 0374-43142,-8.4737486,118.7619591,"https://www.google.com/maps/place/RSUD+Bima/@-8.4737486,118.7619591,16z/data=!4m5!3m4!1s0x2db589520a4a97af:0xde4af7015f1c4d51!8m2!3d-8.4736245!4d118.7617993?hl=id"
Nusa Tenggara Barat,RSU Dr. R Sudjono Selong,JL. Prof. M. Yamin SH No.55 Selong 0376-21118,-8.6502651,116.5288392,"https://www.google.com/maps/place/RSUD+dr.+R.+SOEDJONO+SELONG/@-8.6502651,116.5288392,18z/data=!4m5!3m4!1s0x2dcc4ebc080dd449:0x97222656542da9ee!8m2!3d-8.6506187!4d116.5283708?hl=id"
Nusa Tenggara Barat,RSU Praya,JL. Basuki Rahmat No. 11 Praya 0370-654007,-8.7032793,116.2836206,"https://www.google.com/maps/place/RSUD+PRAYA/@-8.7032793,116.2836206,16z/data=!4m5!3m4!1s0x2dcdb1a4a1189597:0x3ac28c4e13083024!8m2!3d-8.7022517!4d116.2951514?hl=id"
Bali,RSU Sanglah,"Jl. Diponegoro Denpasar, Bali",-8.6757835,115.2109824,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Pusat+Sanglah/@-8.6757835,115.2109824,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd240e1a28d740d:0x842c9d89a4a920dd!8m2!3d-8.6757888!4d115.2131711?hl=id"
Bali,RSU Tabanan,Jl Pahlawan No 14 Tabanan 0361-811027,-8.5391479,115.1300213,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Tabanan/@-8.5391479,115.1300213,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd23a56d69f0683:0xacaf86eba66ede44!8m2!3d-8.5391532!4d115.13221?hl=id"
